"YEAR","SEMESTER","COURSECODE","COURSENAME","SECTION","ROWSEQ","TEACHTYPE","DAY1","DAY2","DAY3","DAY4","DAY5","DAY6","DAY7","STARTTIME","ENDTIME","BUILDING","ROOM","STUDYPROGRAMSYSTEM","GENEDSTATUS","GENERALSUBJECT","LECTURECREDIT","NONLECTURECREDIT","TOTALCREDIT","REALREG","TOTALREG","REMARK1","REMARK2","REMARK3","FACCODE"
"2022","1","2102209","ELECT ENG ESSENT","2","2","LECT","TU","","","","","","","1300","1600","ENG3 ","415  ","S","N","3   ","3.000",".000","3.000","30","30","2EE","","","21"
"2022","1","2102209","ELECT ENG ESSENT","6","6","LECT","TU","","","","","","","1300","1600","ENG3 ","415  ","S","N","3   ","3.000",".000","3.000","31","30","2EE","","","21"
"2022","1","2102213","CIR THEORY I/LAB","1","2","LAB","WE","","","","","","","1330","1630","EE   ","AR   ","S","N","    ","3.000","1.000","4.000","31","31","EE STUDENTS ONLY","","","21"
"2022","1","2102213","CIR THEORY I/LAB","2","4","LAB","TH","","","","","","","1300","1600","EE   ","AR   ","S","N","    ","3.000","1.000","4.000","30","31","EE STUDENTS ONLY","","","21"
"2022","1","2102213","CIR THEORY I/LAB","3","6","LAB","FR","","","","","","","0900","1200","EE   ","AR   ","S","N","    ","3.000","1.000","4.000","30","31","EE STUDENTS ONLY","","","21"
"2022","1","2102213","CIR THEORY I/LAB","4","8","LAB","FR","","","","","","","1300","1600","EE   ","AR   ","S","N","    ","3.000","1.000","4.000","29","31","EE STUDENTS ONLY","","","21"
"2024","2","2101307","RC DESIGN","4","8","STU","TU","","","","","","","1330","1630","CE   ","303  ","S","N","    ","3.000","1.000","4.000","13","13","","","","21"
"2024","2","2101307","RC DESIGN","5","10","STU","TU","","","","","","","1330","1630","CE   ","207  ","S","N","    ","3.000","1.000","4.000","13","13","","","","21"
"2024","2","2101307","RC DESIGN","6","12","STU","WE","","","","","","","1330","1630","CE   ","313  ","S","N","    ","3.000","1.000","4.000","9","13","","","","21"
"2024","2","2101307","RC DESIGN","7","14","STU","WE","","","","","","","1300","1600","EN100","503  ","S","N","    ","3.000","1.000","4.000","13","13","","","","21"
"2024","2","2101312","STRUCT ANAL II","1","1","LECT","TU","TH","","","","","","1100","1230","ENG1 ","113  ","S","N","    ","3.000",".000","3.000","103","110","3CE","","","21"
"2024","2","2101335","CONS SUPVN","2","2","LECT","FR","","","","","","","1400","1600","ENG3 ","404  ","S","N","    ","2.000",".000","2.000","43","55","3CE","","","21"
"2024","2","2101338","HIGHWAY ENG","1","2","LAB","FR","","","","","","","1000","1300","CE   ","209  ","S","N","    ","2.000","1.000","3.000","55","55","","","","21"
"2024","2","2101338","HIGHWAY ENG","2","4","LAB","FR","","","","","","","1000","1300","CE   ","209  ","S","N","    ","2.000","1.000","3.000","50","55","","","","21"
"2024","2","2101421","GEO ENG DES CONS","1","1","LECT","MO","WE","","","","","","0930","1100","CIVIL","209  ","S","N","    ","3.000",".000","3.000","60","60","3CE","","","21"
"2024","2","2101454","CONST MANAGEMENT","1","1","LECT","TU","TH","","","","","","0930","1100","ENG3 ","317  ","S","N","    ","3.000",".000","3.000","58","55","4CE","","","21"
"2024","2","2101461","BUILD DESIGN","1","1","LECT","TU","TH","","","","","","1100","1200","ENG3 ","404  ","S","N","    ","2.000","1.000","3.000","18","60","","","","21"
"2024","2","2101464","BRIDGE DESIGN","1","1","LECT","MO","","","","","","","1330","1530","CE   ","207  ","S","N","    ","2.000","1.000","3.000","5","25","","","","21"
"2024","2","2101464","BRIDGE DESIGN","1","3","PRAC","MO","","","","","","","1530","1630","ENG3 ","204  ","S","N","    ","2.000","1.000","3.000","5","25"," "," "," ","21"
"2024","2","2101510","COMP METHOD FOR CE","1","1","LECT","MO","","","","","","","1330","1630","CE   ","AR   ","S","N","    ","3.000",".000","3.000","13","20","","","","21"
"2024","2","2101524","COMP PROG GRAD RES","1","1","LECT","WE","","","","","","","1300","1600","CE   ","306  ","S","N","    ","3.000",".000","3.000","11","50","","","","21"
"2024","2","2101551","PAVEMENT DESIGN","1","1","LECT","MO","","","","","","","1300","1600","CE   ","501  ","S","N","    ","3.000",".000","3.000","5","20","","","","21"
"2024","2","2101555","TRAV BHV SURV ANAL","1","1","LECT","WE","","","","","","","0900","1200","CE   ","212  ","S","N","    ","3.000",".000","3.000","17","40","","","","21"
"2024","2","2108373","ADV PHOTOG","1","2","LECT","WE","","","","","","","0900","1000","SVBLD","200  ","S","N","    ","2.000","1.000","3.000","24","40","3SV","","","21"
"2024","2","2108412","SAT SURVEY","1","1","LECT","TU","","","","","","","1000","1200","SVBLD","200  ","S","N","    ","2.000","1.000","3.000","22","40","3SV","","","21"
"2024","2","2108414","FLD PRAC DIG MAP","1","1","FWK","IA","","","","","","","IA  ","IA  ","CAMP ","218  ","S","N","    ",".000","1.000","1.000","20","20","4SV","","","21"
"2024","2","2106488","PRAC ED RES ENG","1","2","LAB","AR","","","","","","","AR  ","AR  ","ENG4 ","AR   ","S","N","    ","2.000","1.000","3.000","2","10","","","","21"
"2024","2","2106479","PETROLEUM PROJECT","1","1","PRAC","IA","","","","","","","IA  ","IA  ","ENG4 ","IA   ","S","N","    ",".000","3.000","3.000","12","25","4PE","","","21"
"2024","2","2106488","PRAC ED RES ENG","1","3","DISC","AR","","","","","","","AR  ","AR  ","ENG4 ","AR   ","S","N","    ","2.000","1.000","3.000","2","10","","","","21"
"2024","2","2107215","WASTE CHEM ENV ENG","1","1","LECT","WE","","","","","","","1300","1400","ENV  ","455  ","S","N","    ","1.000","1.000","2.000","0","23","2ENV","","","21"
"2024","2","2107215","WASTE CHEM ENV ENG","2","3","LECT","TH","","","","","","","1300","1400","ENV  ","455  ","S","N","    ","1.000","1.000","2.000","0","23","2ENV","","","21"
"2024","2","2107219","URBAN ENVIRONMENTS","1","1","LECT","FR","","","","","","","0900","1200","EN100","201B ","S","Y","3   ","3.000",".000","3.000","9","100","GENED-SC"," "," ","21"
"2024","2","2107220","ENV DAILY LIFE","1","2","DISC","FR","","","","","","","1100","1200","ENG3 ","421  ","S","Y","3   ","3.000",".000","3.000","0","50","","","","21"
"2024","2","2107221","ENV STUD","1","2","DISC","TH","","","","","","","1500","1600","ENG3 ","309  ","S","N","3   ","3.000",".000","3.000","11","100","","","","21"
"2024","2","2107411","WAT SUPP ENG DES","1","2","LAB","WE","","","","","","","0800","1100","ENG3 ","304  ","S","N","    ","3.000","1.000","4.000","39","50","","","","21"
"2024","2","2102654","SOFTWARE TOOLS SG","1","1","LECT","TU","TH","","","","","","1100","1230","ENG4 ","1204 ","S","N","    ","3.000",".000","3.000","8","40","","","","21"
