"PERSONNEL_ID","BEGIN_DATE","END_DATE","EDUCATION_LEVEL_ID","EDUCATION_LEVEL_NAME","INSTITUTION_ID","INSTITUTION_NAME","MAJOR_ID","MAJOR_NAME","DEGREE_ID","DEGREE_NAME","NATION_ID","NATION_NAME_TH","DISTINCTION_ID","DISTINCTION_NAME","HIGHEST_EDUCATION","HIGHEST_EDUCATION_TH","EMPLOY_EDUCATION_ID","EMPLOY_EDUCATION_NAME","GRADUATE_DATE"
"00034024","19860401","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000852","University of Tokyo","10000327","Electronic Engineering","10297","Doctor of Engineering","JP","Japan"," "," ","X","ใช่","99998","ปรับวุฒิ","19890331"
"00034024","19840401","99991231","F1","ปริญญาโท/เทียบเท่า","1200000852","University of Tokyo","10000327","Electronic Engineering","10461","Master of Engineering","JP","Japan"," "," "," ","ไม่","99998","ปรับวุฒิ","19860331"
"10016348","20010103","99991231","F1","ปริญญาโท/เทียบเท่า","2200000398","สถาบันเทคโนโลยีแห่งเอเชีย","00000000","--ไม่สามารถระบุได้--","20261","วิศวกรรมศาสตรมหาบัณฑิต","TH","ไทย"," "," "," ","ไม่","99997","วุฒิเพิ่มเติม","20020816"
"10016348","19960524","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000892","วิศวกรรมสิ่งแวดล้อม","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99997","วุฒิเพิ่มเติม","20000426"
"10016348","","99991231","H1","ปริญญาเอก/เทียบเท่า","0000000000","--ไม่สามารถระบุได้--","10000155","Chemistry","10314","Doctor of Philosophy","GB","United Kingdom"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","20101116"
"10016351","","99991231","F1","ปริญญาโท/เทียบเท่า","1200000179","Georgia Institute of Technology","10000499","Industrial Engineering","10503","Master of Science","US","USA"," "," "," ","ไม่","99997","วุฒิเพิ่มเติม","20021214"
"10016351","19950329","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000899","วิศวกรรมอุตสาหการ","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99997","วุฒิเพิ่มเติม","19990331"
"10016351","","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000179","Georgia Institute of Technology","10000499","Industrial Engineering","10314","Doctor of Philosophy","US","USA"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","20090801"
"00034043","19830101","99991231","F1","ปริญญาโท/เทียบเท่า","1200000843","University of Texas at Arlington","10000322","Electrical Engineering","10503","Master of Science","US","USA"," "," "," ","ไม่","99998","ปรับวุฒิ","19860101"
"00034043","19780101","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000644","ไฟฟ้า","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99999","วุฒิเริ่มบรรจุ","19820101"
"00034043","19860101","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000904","Virginia Polytechnic Institute  and State University","10000322","Electrical Engineering","10314","Doctor of Philosophy","US","USA"," "," ","X","ใช่","99998","ปรับวุฒิ","19900101"
"00034081","","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000084","มหาวิทยาลัยสุโขทัยธรรมาธิราช","20000052","การจัดการทั่วไป","20043","บริหารธุรกิจบัณฑิต","TH","ไทย"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","19910429"
"00034108","19840101","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000011","มหาวิทยาลัยเกษตรศาสตร์","20000868","วิศวกรรมเกษตร","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99999","วุฒิเริ่มบรรจุ","19880101"
"00034108","19940101","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000024","Asian Institute of Technology (AIT)","10000499","Industrial Engineering","10297","Doctor of Engineering","TH","ไทย"," "," ","X","ใช่","99998","ปรับวุฒิ","19980814"
"00034108","19880101","99991231","F1","ปริญญาโท/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000899","วิศวกรรมอุตสาหการ","20261","วิศวกรรมศาสตรมหาบัณฑิต","TH","ไทย"," "," "," ","ไม่","99998","ปรับวุฒิ","19910101"
"10016484","","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000707","University of California Davis","10000096","Biological Systems Engineering","10314","Doctor of Philosophy","US","USA"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","20101210"
"10016488","","99991231","C3","ปวส.หรือเทียบเท่า","2200000378","สถาบันเทคโนโลยีราชมงคล","20000213","เกษตรกรรม","20172","ประกาศนียบัตรวิชาชีพชั้นสูง","TH","ไทย"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","19900315"
"10016489","","99991231","B2","มัธยมศึกษาตอนปลาย","2100001718","ศูนย์การศึกษานอกโรงเรียน จ.สมุทรปราการ","20000716","มัธยมศึกษา","20243","มัธยมศึกษาตอนปลาย","TH","ไทย"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","20090324"
"00034120","19870101","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000273","เครื่องกล","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99999","วุฒิเริ่มบรรจุ","19910101"
"00034120","19950523","99991231","H1","ปริญญาเอก/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","10000650","Mechanical Engineering","10297","Doctor of Engineering","TH","ไทย"," "," ","X","ใช่","99998","ปรับวุฒิ","20000523"
"00034120","","99991231","F1","ปริญญาโท/เทียบเท่า","1200000424","Oregon State University","10000650","Mechanical Engineering","10503","Master of Science","US","USA"," "," "," ","ไม่","99998","ปรับวุฒิ","19940825"
"00034121","19860101","99991231","F1","ปริญญาโท/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000644","ไฟฟ้า","20261","วิศวกรรมศาสตรมหาบัณฑิต","TH","ไทย"," "," ","X","ใช่","99998","ปรับวุฒิ","19910101"
"00034121","19820101","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000878","วิศวกรรมไฟฟ้า","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99999","วุฒิเริ่มบรรจุ","19860101"
"00034127","19810101","99991231","D1","ปริญญาตรี/เทียบเท่า","1200000363","Nagoya University","20000878","วิศวกรรมไฟฟ้า","10048","Bachelor of Engineering","JP","Japan"," "," "," ","ไม่","99999","วุฒิเริ่มบรรจุ","19850101"
"00034127","19870101","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000363","Nagoya University","20000878","วิศวกรรมไฟฟ้า","10297","Doctor of Engineering","JP","Japan"," "," ","X","ใช่","99998","ปรับวุฒิ","19900101"
